,CV,TL,AL,TWC,AWC,TSC,ASC,TALRATIO,TAWCRATIO,TASCRATIO,TP,AP,TAPD,TAPMEAN,TS,AS,TASD,TASMEAN
67,4.5,53,7898,8,1332,1,92,0.006710559635350721,0.006006006006006006,0.010869565217391304,0.7,0.05207660003040437,-0.6479233999695956,0.37603830001520216,0.7,0.05207660003040437,-0.6479233999695956,0.7520766000304043
68,3.0,71,1854,14,336,1,17,0.038295577130528585,0.041666666666666664,0.058823529411764705,-0.5,0.08284168212739641,0.5828416821273964,-0.2085791589363018,-0.5,0.08284168212739641,0.5828416821273964,-0.4171583178726036
69,2.0,59,2403,9,415,1,20,0.02455264253017062,0.021686746987951807,0.05,0.22499999999999998,0.069896331738437,-0.15510366826156297,0.1474481658692185,0.22499999999999998,0.069896331738437,-0.15510366826156297,0.294896331738437
70,2.5,72,739,12,112,1,1,0.09742895805142084,0.10714285714285714,1.0,-0.15555555555555559,-0.028571428571428574,0.126984126984127,-0.09206349206349208,-0.15555555555555559,-0.028571428571428574,0.126984126984127,-0.18412698412698417
71,3.5,64,1351,11,236,1,11,0.047372316802368614,0.046610169491525424,0.09090909090909091,0.0,-0.08269230769230769,-0.08269230769230769,-0.041346153846153845,0.0,-0.08269230769230769,-0.08269230769230769,-0.08269230769230769
72,4.0,88,111,12,18,1,1,0.7927927927927928,0.6666666666666666,1.0,0.03333333333333334,0.0,-0.03333333333333334,0.01666666666666667,0.03333333333333334,0.0,-0.03333333333333334,0.03333333333333334
73,4.0,46,282,8,44,1,1,0.16312056737588654,0.18181818181818182,1.0,0.0,-0.125,-0.125,-0.0625,0.0,-0.125,-0.125,-0.125
74,4.0,80,377,10,50,1,1,0.21220159151193635,0.2,1.0,0.0,-0.25,-0.25,-0.125,0.0,-0.25,-0.25,-0.25
75,4.5,51,424,8,65,1,1,0.12028301886792453,0.12307692307692308,1.0,0.0,-0.1875,-0.1875,-0.09375,0.0,-0.1875,-0.1875,-0.1875
76,3.5,66,6823,9,1169,1,78,0.009673164297229957,0.007698887938408896,0.01282051282051282,0.0,0.08840723249814153,0.08840723249814153,0.044203616249070765,0.0,0.08840723249814153,0.08840723249814153,0.08840723249814153
77,4.0,58,2423,9,391,1,12,0.023937267849773007,0.023017902813299233,0.08333333333333333,0.0,0.13969696969696968,0.13969696969696968,0.06984848484848484,0.0,0.13969696969696968,0.13969696969696968,0.13969696969696968
78,3.0,72,248,13,39,1,1,0.2903225806451613,0.3333333333333333,1.0,0.0,-0.25,-0.25,-0.125,0.0,-0.25,-0.25,-0.25
79,4.5,30,15363,6,2820,1,77,0.0019527436047646943,0.002127659574468085,0.012987012987012988,0.0,0.1741363295497154,0.1741363295497154,0.0870681647748577,0.0,0.1741363295497154,0.1741363295497154,0.1741363295497154
80,4.0,69,5124,14,875,1,26,0.013466042154566744,0.016,0.038461538461538464,0.0,-0.036927952999381584,-0.036927952999381584,-0.018463976499690792,0.0,-0.036927952999381584,-0.036927952999381584,-0.036927952999381584
81,3.0,55,3267,9,530,1,20,0.016835016835016835,0.016981132075471698,0.05,0.1,0.0584837962962963,-0.04151620370370371,0.07924189814814815,0.1,0.0584837962962963,-0.04151620370370371,0.1584837962962963
82,3.5,60,569,8,99,1,4,0.1054481546572935,0.08080808080808081,0.25,0.0,0.11331168831168831,0.11331168831168831,0.056655844155844154,0.0,0.11331168831168831,0.11331168831168831,0.11331168831168831
83,3.0,66,819,14,134,1,1,0.08058608058608059,0.1044776119402985,1.0,0.0,0.1253246753246753,0.1253246753246753,0.06266233766233766,0.0,0.1253246753246753,0.1253246753246753,0.1253246753246753
84,3.5,66,3871,9,620,1,24,0.017049857917850686,0.014516129032258065,0.041666666666666664,0.5,0.11951595413133873,-0.38048404586866125,0.3097579770656694,0.5,0.11951595413133873,-0.38048404586866125,0.6195159541313388
85,3.5,50,2131,11,379,1,21,0.02346316283435007,0.029023746701846966,0.047619047619047616,0.0,-0.008482142857142858,-0.008482142857142858,-0.004241071428571429,0.0,-0.008482142857142858,-0.008482142857142858,-0.008482142857142858
86,3.5,73,263,10,42,1,1,0.27756653992395436,0.23809523809523808,1.0,-0.25,-0.0625,0.1875,-0.15625,-0.25,-0.0625,0.1875,-0.3125
87,4.0,59,302,10,50,1,1,0.19536423841059603,0.2,1.0,0.3,-0.1784090909090909,-0.4784090909090909,0.06079545454545454,0.3,-0.1784090909090909,-0.4784090909090909,0.12159090909090908
88,2.5,62,3359,9,572,1,30,0.01845787436737124,0.015734265734265736,0.03333333333333333,0.3,0.07214165464165465,-0.22785834535834534,0.1860708273208273,0.3,0.07214165464165465,-0.22785834535834534,0.3721416546416546
89,3.5,48,1873,8,323,1,14,0.02562733582487987,0.02476780185758514,0.07142857142857142,0.0,0.08068181818181817,0.08068181818181817,0.04034090909090909,0.0,0.08068181818181817,0.08068181818181817,0.08068181818181817
90,4.0,56,1244,9,210,1,10,0.04501607717041801,0.04285714285714286,0.1,0.0,0.21515151515151515,0.21515151515151515,0.10757575757575757,0.0,0.21515151515151515,0.21515151515151515,0.21515151515151515
91,3.0,52,2567,9,452,1,17,0.02025710946630308,0.01991150442477876,0.058823529411764705,0.0,0.12586805555555555,0.12586805555555555,0.06293402777777778,0.0,0.12586805555555555,0.12586805555555555,0.12586805555555555
92,3.0,41,3877,7,705,1,39,0.01057518700025793,0.009929078014184398,0.02564102564102564,0.0,0.10556357223023889,0.10556357223023889,0.052781786115119446,0.0,0.10556357223023889,0.10556357223023889,0.10556357223023889
93,3.5,60,2853,10,456,1,21,0.02103049421661409,0.021929824561403508,0.047619047619047616,0.0,0.0710927960927961,0.0710927960927961,0.03554639804639805,0.0,0.0710927960927961,0.0710927960927961,0.0710927960927961
94,2.0,56,1884,10,343,1,22,0.029723991507430998,0.029154518950437316,0.045454545454545456,0.0,0.04385353535353534,0.04385353535353534,0.02192676767676767,0.0,0.04385353535353534,0.04385353535353534,0.04385353535353534
95,4.0,53,884,9,141,1,5,0.05995475113122172,0.06382978723404255,0.2,0.0,0.20252525252525252,0.20252525252525252,0.10126262626262626,0.0,0.20252525252525252,0.20252525252525252,0.20252525252525252
96,2.0,60,1158,8,176,1,6,0.05181347150259067,0.045454545454545456,0.16666666666666666,0.0,0.09992897727272729,0.09992897727272729,0.049964488636363644,0.0,0.09992897727272729,0.09992897727272729,0.09992897727272729
97,4.5,51,572,7,99,1,4,0.08916083916083917,0.0707070707070707,0.25,0.0,-0.041666666666666664,-0.041666666666666664,-0.020833333333333332,0.0,-0.041666666666666664,-0.041666666666666664,-0.041666666666666664
98,3.5,55,562,7,82,1,1,0.09786476868327403,0.08536585365853659,1.0,0.0,0.11875,0.11875,0.059375,0.0,0.11875,0.11875,0.11875
99,3.5,26,237,5,49,1,2,0.10970464135021098,0.10204081632653061,0.5,0.0,0.3,0.3,0.15,0.0,0.3,0.3,0.3
100,5.0,48,1105,7,172,1,8,0.04343891402714932,0.040697674418604654,0.125,0.0,0.3156818181818182,0.3156818181818182,0.1578409090909091,0.0,0.3156818181818182,0.3156818181818182,0.3156818181818182
101,3.5,52,713,9,119,1,3,0.0729312762973352,0.07563025210084033,0.3333333333333333,-0.15,-0.01886363636363636,0.13113636363636363,-0.08443181818181818,-0.15,-0.01886363636363636,0.13113636363636363,-0.16886363636363635
102,2.5,47,3261,6,534,1,37,0.01441275682306041,0.011235955056179775,0.02702702702702703,0.0,0.0573018127705628,0.0573018127705628,0.0286509063852814,0.0,0.0573018127705628,0.0573018127705628,0.0573018127705628
103,4.0,45,1944,7,340,1,16,0.023148148148148147,0.020588235294117647,0.0625,0.4,0.1429932970255551,-0.25700670297444494,0.27149664851277755,0.4,0.1429932970255551,-0.25700670297444494,0.5429932970255551
104,4.5,37,837,7,167,1,9,0.04420549581839905,0.041916167664670656,0.1111111111111111,0.0,0.22249999999999998,0.22249999999999998,0.11124999999999999,0.0,0.22249999999999998,0.22249999999999998,0.22249999999999998
105,2.5,70,5210,13,976,1,102,0.013435700575815739,0.01331967213114754,0.00980392156862745,0.4681818181818182,0.17004005832130836,-0.29814175986050984,0.3191109382515633,0.4681818181818182,0.17004005832130836,-0.29814175986050984,0.6382218765031266
106,3.0,81,7597,14,1342,1,61,0.010662103461892853,0.010432190760059613,0.01639344262295082,0.39375,0.05040288379983035,-0.34334711620016967,0.22207644189991516,0.39375,0.05040288379983035,-0.34334711620016967,0.4441528837998303
107,4.0,28,1862,4,314,1,24,0.015037593984962405,0.012738853503184714,0.041666666666666664,0.0,0.2726817042606516,0.2726817042606516,0.1363408521303258,0.0,0.2726817042606516,0.2726817042606516,0.2726817042606516
108,3.0,67,1317,10,238,1,10,0.05087319665907365,0.04201680672268908,0.1,-0.25,0.20462962962962963,0.4546296296296296,-0.022685185185185183,-0.25,0.20462962962962963,0.4546296296296296,-0.045370370370370366
109,3.5,45,1027,6,184,1,15,0.043816942551119765,0.03260869565217391,0.06666666666666667,0.0,0.29772222222222217,0.29772222222222217,0.14886111111111108,0.0,0.29772222222222217,0.29772222222222217,0.29772222222222217
110,3.0,65,3120,11,516,1,15,0.020833333333333332,0.02131782945736434,0.06666666666666667,0.13636363636363635,0.10154418751979728,-0.03481944884383907,0.11895391194171681,0.13636363636363635,0.10154418751979728,-0.03481944884383907,0.23790782388343362
111,4.0,102,2407,17,414,1,16,0.0423764021603656,0.04106280193236715,0.0625,0.0,0.13307391138273492,0.13307391138273492,0.06653695569136746,0.0,0.13307391138273492,0.13307391138273492,0.13307391138273492
112,3.0,55,12833,12,2297,1,104,0.004285825605859893,0.00522420548541576,0.009615384615384616,-0.325,0.010469464622006994,0.335469464622007,-0.1572652676889965,-0.325,0.010469464622006994,0.335469464622007,-0.314530535377993
113,3.5,46,721,6,116,1,4,0.0638002773925104,0.05172413793103448,0.25,0.0,0.016666666666666673,0.016666666666666673,0.008333333333333337,0.0,0.016666666666666673,0.016666666666666673,0.016666666666666673
114,2.5,64,670,11,123,1,5,0.0955223880597015,0.08943089430894309,0.2,0.0,0.17137445887445885,0.17137445887445885,0.08568722943722942,0.0,0.17137445887445885,0.17137445887445885,0.17137445887445885
115,2.5,59,2185,10,350,1,16,0.02700228832951945,0.02857142857142857,0.0625,0.0,0.14705882352941174,0.14705882352941174,0.07352941176470587,0.0,0.14705882352941174,0.14705882352941174,0.14705882352941174
116,4.5,40,1958,6,349,1,15,0.020429009193054137,0.017191977077363897,0.06666666666666667,0.0,0.19250541125541126,0.19250541125541126,0.09625270562770563,0.0,0.19250541125541126,0.19250541125541126,0.19250541125541126
117,3.0,38,941,8,167,1,17,0.040382571732199786,0.04790419161676647,0.058823529411764705,1.0,0.029556277056277065,-0.9704437229437229,0.5147781385281386,1.0,0.029556277056277065,-0.9704437229437229,1.0295562770562772
118,3.0,73,4774,13,851,1,41,0.015291160452450775,0.01527614571092832,0.024390243902439025,0.075,0.14529830498140361,0.07029830498140362,0.11014915249070181,0.075,0.14529830498140361,0.07029830498140362,0.22029830498140363
119,3.5,46,1843,6,330,1,15,0.024959305480195332,0.01818181818181818,0.06666666666666667,0.13636363636363635,0.2881751881751881,0.15181155181155176,0.21226941226941223,0.13636363636363635,0.2881751881751881,0.15181155181155176,0.42453882453882447
120,4.0,65,1679,10,270,1,11,0.03871351995235259,0.037037037037037035,0.09090909090909091,0.0,0.0005555555555555554,0.0005555555555555554,0.0002777777777777777,0.0,0.0005555555555555554,0.0005555555555555554,0.0005555555555555554
121,4.5,76,726,10,119,1,8,0.1046831955922865,0.08403361344537816,0.125,0.0,-0.05,-0.05,-0.025,0.0,-0.05,-0.05,-0.05
122,3.5,76,1992,9,324,1,12,0.03815261044176707,0.027777777777777776,0.08333333333333333,0.25,0.23723544973544972,-0.012764550264550284,0.24361772486772487,0.25,0.23723544973544972,-0.012764550264550284,0.48723544973544974
123,3.0,25,1198,4,210,1,10,0.020868113522537562,0.01904761904761905,0.1,0.13636363636363635,0.21547619047619046,0.0791125541125541,0.17591991341991342,0.13636363636363635,0.21547619047619046,0.0791125541125541,0.35183982683982684
124,4.0,61,6818,9,1198,1,66,0.008946905250806688,0.007512520868113523,0.015151515151515152,0.0,0.09174069724601641,0.09174069724601641,0.045870348623008206,0.0,0.09174069724601641,0.09174069724601641,0.09174069724601641
